ID,Label,synonyms,definition,references
OBI:0000626,DNA sequencing assay,nucleotide sequencing,"A sequencing assay which determines information on the sequence of a DNA molecule.",
OBI:0001631,electron microscopy imaging assay,,"An imaging assay in which an electrons are used to probe the density, shape and composition of an input material which are detected in an electron microscope and utilized to produce an image of the material.",
OBI:0001177,RNA sequencing assay,,"An assay that determines the sequence of an RNA molecule.",
OBI:0600020,histological assay,histology|histopathology,"An assay that uses visual examination of cells or tissue (or images of them) to make an assessment regarding a quality of the cells or tissue. This assay can include steps of staining, imaging, and judgement.",
OBI:0001686,in-situ hybridization assay,ISH|in situ hybridization,"An assay that localizes a specific DNA or RNA sequence within a portion or section of tissue using artificially induced nucleic hybridization.",
OBI:0002178,whole-cell patch clamp assay,,"A patch-clamp assay where the electrode is left in place on the cell, as in cell-attached recordings, but the membrane patch has been perforated, providing access from the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.",
OBI:0001985,microarray assay,,"An analyte assay where binding of the analyte to immobilized matrix is measured.",
TMN:0000029,SHARE-seq assay,SHARE-seq|SHARE-sequencing,"A RNA-seq assay that uses high-throughput ATAC and RNA expression with sequencing to measure chromatin accessibility and gene expression in the same single cell.",
TMN:0000028,slide-seq assay,slide-seq|slide-sequencing assay,"A RNA-seq assay for transferring RNA from tissue sections onto a surface covered in DNA-barcoded beads with known positions, allowing the locations of the RNA to be inferred by sequencing.",
OBI:0002985,magnetic resonance imaging assay,MRI,"An imaging assay in which nuclear magnetic resonance is used to produce information about the interior structure and composition of an input material entity.",
TMN:0000020,optical coherence tomography assay,OCT,"An imaging assay that has as an output label-free, cross-sectional imaging of biological tissue microstructure using tissue backscattering properties.",
,10x chromium 3' v2 sequencing assay,10x chromium 3' v2 sequencing,,
,10x chormium 3' v3 sequencing assay, 10x chromium 3' v3 sequencing,,
,DARTFISH,,,
,DIVA-seq,,,
,mC-seq2,,,
,OLST,,,
,osmFISH,,,
,smFISH,,,
,SNARE-seq2 (ATAC-seq),,,
,SNARE-seq2 (RNA-seq),,,
,Split-seq,,,
,PacBio long-read sequencing,,,
,Oxford Nanopore long-read sequencing,,,
,sci-Metv2,,,
,m3C-seq,,,
,mC-seq3,,,
